store_address,city,state,latitude,longitude
"1131 Wilmington Ave, Salt Lake City, UT 84106, USA",Salt Lake City,Utah,40.723638,-111.858944
"1140 Woodruff Rd, Greenville, SC 29607, USA",Greenville,South Carolina,34.825812,-82.301003
"2201 Preston Rd, Plano, TX 75093, USA",Plano,Texas,33.029817,-96.796971
"17991 Redmond Way, Redmond, WA 98052, USA",Redmond,Washington,47.666112,-122.101229
"2955 W Ray Rd, Chandler, AZ 85224, USA",Chandler,Arizona,33.31844,-111.892792
"7871 Santa Monica Blvd, West Hollywood, CA 90046, USA",West Hollywood,California,34.09152,-118.360773
"4315 Arden Way, Sacramento, CA 95864, USA",Sacramento,California,38.596472,-121.364055
"12746 W Jefferson Blvd #1100, Playa Vista, CA 90094, USA",Los Angeles,California,33.977037,-118.417306
"8525 Irvine Center Dr, Irvine, CA 92618, USA",Irvine,California,33.646313,-117.744371
"2375 E 1st Ave, Denver, CO 80206, USA",Denver,Colorado,39.718657,-104.957305
"305 E Altamonte Dr, Altamonte Springs, FL 32701, USA",Altamonte Springs,Florida,28.664371,-81.381556
"1903 S University Dr, Davie, FL 33324, USA",Davie,Florida,26.096528,-80.251898
"Centennial Hall, 959 W Fullerton Ave, Chicago, IL 60614, USA",Chicago,Illinois,41.925081,-87.653219
"1550 N Kingsbury St, Chicago, IL 60642, USA",Chicago,Illinois,41.908743,-87.652743
"92-98 Derby St, Hingham, MA 02043, USA",Hingham,Massachusetts,42.177563,-70.909558
"10275 Little Patuxent Pkwy, Columbia, MD 21044, USA",Columbia,Maryland,39.213959,-76.855856
"1745 W Market St, Akron, OH 44313, USA",Akron,Ohio,41.110943,-81.571241
"3135 Washtenaw Ave, Ann Arbor, MI 48104, USA",Ann Arbor,Michigan,42.257996,-83.698223
"6139 S Virginia St, Reno, NV 89502, USA",Reno,Nevada,39.470616,-119.788144
"235 Prospect Ave, West Orange, NJ 07052, USA",West Orange,New Jersey,40.806763,-74.24687
"120 New Moriches Rd, Lake Grove, NY 11755, USA",Lake Grove,New York,40.870002,-73.126686
"7380 SW Bridgeport Rd, Portland, OR 97224, USA",Portland,Oregon,45.39441,-122.751549
"6930 S Highland Dr, Cottonwood Heights, UT 84121, USA",Cottonwood Heights,Utah,40.625044,-111.835922
"301 Manufacturers Rd, Chattanooga, TN 37405, USA",Chattanooga,Tennessee,35.063362,-85.314107
"3720 Vision Drive, Fort Worth, TX 76109, USA",Fort Worth,Texas,32.700058,-97.413211
"2800 196th St SW, Lynnwood, WA 98036, USA",Lynnwood,Washington,47.819939,-122.272304
"320 Cambridge Ln, Flagstaff, AZ 86001, USA",Flagstaff,Arizona,35.191586,-111.641147
"777 The Alameda, San Jose, CA 95126, USA",San Jose,California,37.332174,-121.904814
"399 4th St, San Francisco, CA 94107, USA",San Francisco,California,37.781303,-122.399853
"6550 E Pacific Coast Hwy, Long Beach, CA 90803, USA",Long Beach,California,33.754725,-118.109399
"100 Sunset Dr, San Ramon, CA 94583, USA",San Ramon,California,37.761746,-121.961247
"261 Lusher Ct, Frisco, CO 80443, USA",Frisco,Colorado,39.588746,-106.10035
"5298 University Pkwy, at Whole Foods, Sarasota, FL 34243, United States",Sarasota,Florida,27.389291,-82.463733
"1845 Palm Beach Lakes Blvd, West Palm Beach, FL 33401, USA",West Palm Beach,Florida,26.720744,-80.089287
"255 E Grand Ave, Chicago, IL 60611, USA",Chicago,Illinois,41.891383,-87.6212
"6009 North Broadway, Chicago, IL 60660, USA",Chicago,Illinois,41.991118,-87.659683
"647 Washington St, Newton, MA 02458, USA",Newton,Massachusetts,42.353519,-71.199998
"1330 Smith Ave, Baltimore, MD 21209, USA",Baltimore,Maryland,39.368367,-76.649833
"1555 W Lane Ave, Upper Arlington, OH 43221, USA",Upper Arlington,Ohio,40.006602,-83.052584
"2918 Walton Blvd, Rochester Hills, MI 48309, USA",Rochester Hills,Michigan,42.682202,-83.19171
"100 S Green Valley Pkwy, Henderson, NV 89012, USA",Henderson,Nevada,36.02334,-115.082427
"1933 NJ-35, Wall Township, NJ 07719, USA",Wall Township,New Jersey,40.154948,-74.056064
"4 Union Square E, New York, NY 10003, USA",New York,New York,40.734582,-73.991347
"175 Pottstown Pike, Exton, PA 19341, USA",Exton,Pennsylvania,40.031442,-75.628418
"1797 Hydraulic Rd, Charlottesville, VA 22901, USA",Charlottesville,Virginia,38.059653,-78.489127
"4021 Hillsboro Pike, Nashville, TN 37215, USA",Nashville,Tennessee,36.103158,-86.818782
"1407 S Voss Rd, Houston, NC 77057, USA",Houston,North Carolina,29.753801,-95.500047
"1030 Lakeway Dr, Bellingham, WA 98229, USA",Bellingham,Washington,48.743594,-122.461295
"1420 AZ-89A, Sedona, AZ 86336, USA",Sedona,Arizona,34.863534,-111.785141
"1710 41st Ave, Capitola, CA 95010, USA",Capitola,California,36.974283,-121.963572
"711 University Ave, San Diego, CA 92103, USA",San Diego,California,32.747951,-117.15805
"24130 Valencia Blvd, Santa Clarita, CA 91355, USA",Santa Clarita,California,34.412636,-118.55588
"4315 Arden Way, Sacramento, CA 95864, USA",Sacramento,California,38.596472,-121.364055
"4451 Main St, Westminster, CO 80031, USA",Westminster,Colorado,39.913363,-105.044629
"9101 Strada Pl, Naples, FL 34108, USA",Naples,Florida,26.25459,-81.79995
"299 SE 3rd Ave, Miami, FL 33132, USA",Miami,Florida,25.771973,-80.189072
"1550 N Kingsbury St, Chicago, IL 60642, USA",Chicago,Illinois,41.908743,-87.652743
"4230 Grape Rd, Mishawaka, IN 46545, USA",Mishawaka,Indiana,41.699032,-86.185634
"40 Railroad St, Andover, MA 01810, USA",Andover,Massachusetts,42.660883,-71.14463
"200 Harker Pl, Annapolis, MD 21401, USA",Annapolis,Maryland,38.98175,-76.540736
"3670 W Dublin Granville Rd, Columbus, OH 43235, USA",Columbus,Ohio,40.098346,-83.086995
"115 Mack Ave, Detroit, MI 48201, USA",Detroit,Michigan,42.348536,-83.056572
"8855 W Charleston Blvd, Las Vegas, NV 89117, USA",Las Vegas,Nevada,36.157697,-115.288291
"471 NJ-35, Red Bank, NJ 07701, USA",Red Bank,New Jersey,40.375162,-74.087404
"2101 Northern Blvd, Manhasset, NY 11030, USA",Manhasset,New York,40.797421,-73.670705
"929 South St, Philadelphia, PA 19147, USA",Philadelphia,Pennsylvania,39.942914,-75.157784
"4501 Market Commons Dr, Fairfax, VA 22033, USA",Fairfax,Virginia,38.857798,-77.377736
"6730 Papermill Dr NW, Knoxville, TN 37919, USA",Knoxville,Tennessee,35.933147,-84.01547
"525 N Lamar Blvd, Austin, TX 78703, USA",Austin,Texas,30.270607,-97.753259
"2305 N Prospect Ave, Milwaukee, WI 53211, USA",Milwaukee,Wisconsin,43.060829,-87.883937
"3360 E Speedway Blvd, Tucson, AZ 85716, USA",Tucson,Arizona,32.235741,-110.921546
"399 4th St, San Francisco, CA 94107, USA",San Francisco,California,37.781303,-122.399853
"1690 S Bascom Ave, Campbell, CA 95008, USA",Campbell,California,37.29322,-121.930379
"230 Bay Pl, Oakland, CA 94612, USA",Oakland,California,37.81276,-122.260988
